crop_name,soil_type,season,temp_min,temp_max,ph_min,ph_max,rainfall_min,rainfall_max,water_need,duration_days,humidity_min,humidity_max,altitude_min,altitude_max,fertilizer_n,fertilizer_p,fertilizer_k,yield_ton_per_ha,profit_usd_per_ha,difficulty_level,country,location_field
Buckwheat,Silty,Spring,14,24,5.4,7.2,72,130,Low,83,47,70,800,2500,60,30,30,1.05,341,Hard,Nepal,Jhapa
Large Cardamom,Laterite,Autumn,11,23,4.7,6.2,161,354,High,313,81,97,1000,2000,40,40,60,0.65,4293,Hard,Nepal,Ilam
Plum,Loamy,Summer,11,24,6.0,6.7,93,134,Medium,125,51,71,1000,2500,90,45,90,11.63,2712,Hard,Nepal,Ilam
Peas,Loamy,Spring,10,26,5.9,7.2,44,67,Medium,70,55,82,300,1200,60,30,40,8.18,1151,Medium,Nepal,Kaski
Wheat (Spring),Clay,Winter,8,24,5.9,7.3,58,120,Medium,106,47,76,200,600,120,60,60,3.25,678,Medium,Asia,Bangladesh
Onion,Sandy,Summer,14,25,5.8,7.2,49,104,Medium,113,64,75,200,800,100,50,80,16.47,2276,Medium,India,Himachal Pradesh
Rice (Basmati),Laterite,Monsoon,19,40,6.3,7.8,89,169,Medium,118,53,78,300,800,100,50,50,2.79,1202,Medium,Nepal,Dhankuta
Buckwheat (Phapar),Silty,Winter,11,24,5.1,6.7,61,89,Low,71,54,69,2000,4000,20,20,20,1.62,583,Easy,Asia,Indonesia
Orange,Silty,Summer,16,36,5.2,7.5,105,209,Medium,184,57,83,500,1500,120,60,100,14.38,2833,Medium,Asia,Thailand
Tobacco,Loamy,Spring,13,32,5.7,7.2,21,85,Medium,115,46,69,300,1000,120,60,120,2.39,2881,Hard,Asia,Bangladesh
Cabbage,Alluvial,Summer,14,24,6.3,7.1,35,93,High,85,67,90,200,800,140,70,110,23.4,2007,Medium,Asia,Bangladesh
Fenugreek,Sandy,Winter,9,30,5.7,7.6,15,43,Medium,38,47,70,200,800,60,30,40,6.82,989,Easy,India,Himachal Pradesh
Chickpea,Silty,Monsoon,13,23,6.0,7.2,23,69,Low,91,41,61,300,1000,60,30,40,1.22,577,Medium,India,Haryana
Sunflower,Sandy,Summer,18,36,5.7,7.7,49,95,Medium,104,50,71,300,1000,80,40,80,1.26,672,Medium,Nepal,Jhapa
Rice (Boro),Clay,Monsoon,16,32,5.1,7.7,63,105,High,151,55,80,0,500,130,65,65,4.92,919,Medium,Nepal,Sunsari
Mustard,Alluvial,Autumn,11,25,5.8,7.3,36,120,Low,103,52,72,0,2000,60,40,40,1.38,921,Easy,India,Himachal Pradesh
Pigeon Pea,Red,Autumn,20,33,5.7,7.7,38,64,Low,181,45,66,300,1000,60,30,40,1.22,703,Medium,India,Gujarat
Pear,Red,Spring,8,25,6.0,6.9,98,133,Medium,123,50,74,1000,2500,100,50,100,10.46,2685,Hard,India,Punjab
Kodo Millet,Red,Autumn,18,36,5.6,7.3,69,112,Low,82,45,75,400,1500,60,30,30,1.09,304,Medium,Nepal,Jhapa
Maize (Irrigated),Laterite,Monsoon,21,33,5.4,7.1,69,92,High,108,59,90,200,1000,120,60,60,4.55,656,Medium,Asia,Indonesia
Lentil (Musuro),Red,Monsoon,16,23,6.2,7.7,56,96,Low,122,45,74,0,2000,20,40,20,1.86,957,Easy,Asia,Vietnam
Horse Gram,Silty,Summer,21,37,5.6,7.2,28,63,Low,114,38,69,300,1000,40,20,25,0.66,406,Easy,Nepal,Jhapa
Castor,Peaty,Winter,18,41,5.9,7.9,49,47,Low,179,31,58,200,800,80,40,40,1.75,626,Medium,India,Assam
Lentil (Musuro),Loamy,Winter,13,25,6.0,7.4,41,85,Low,115,46,73,0,2000,20,40,20,1.37,704,Easy,Nepal,Mustang
Capsicum,Sandy,Winter,18,28,6.3,6.8,76,113,Medium,81,68,83,200,1000,110,55,90,13.25,2401,Medium,India,Andhra Pradesh
Oats,Silty,Winter,8,27,6.1,7.0,41,126,Medium,98,57,84,500,1500,90,45,45,2.46,399,Medium,Nepal,Kailali
Radish,Clay,Monsoon,12,24,6.2,7.7,57,67,Medium,61,54,77,200,800,80,40,60,14.64,1394,Easy,Asia,Vietnam
Sunflower,Loamy,Monsoon,19,33,5.9,7.4,41,99,Medium,115,48,66,300,1000,80,40,80,1.53,770,Medium,India,Punjab
Sunflower,Laterite,Autumn,20,34,5.9,7.2,38,81,Medium,101,45,74,300,1000,80,40,80,1.72,680,Medium,Asia,Sri Lanka
Areca Nut,Laterite,Summer,21,33,5.4,7.3,150,252,High,372,66,88,200,800,150,80,150,1.75,3281,Medium,Nepal,Sindhupalchok
Cucumber,Peaty,Autumn,19,33,6.2,7.7,59,124,High,54,60,86,200,800,80,40,60,28.55,2311,Easy,India,Andhra Pradesh
Little Millet,Red,Winter,21,33,5.6,7.2,30,95,Low,77,35,68,400,1500,60,30,30,1.01,286,Medium,India,Assam
Green Beans,Silty,Spring,18,29,6.3,7.6,66,107,Medium,76,65,83,200,1000,70,35,50,10.78,1434,Medium,Nepal,Morang
Coriander Seed,Alluvial,Monsoon,17,23,6.1,7.6,13,50,Medium,92,50,69,300,1000,60,30,40,0.7,868,Medium,Nepal,Kaski
Lentil,Clay,Monsoon,16,26,5.8,7.5,29,40,Low,80,41,63,300,1000,50,25,30,1.16,564,Medium,Nepal,Sunsari
Cauliflower,Black,Spring,14,25,6.0,7.0,70,101,High,80,66,90,200,800,150,80,120,13.99,1727,Medium,India,Andhra Pradesh
Cotton,Laterite,Monsoon,19,37,6.4,7.7,57,73,Low,177,44,66,200,600,100,50,100,2.28,1167,Medium,Nepal,Kaski
Apricot,Peaty,Summer,12,30,6.1,7.5,41,111,Medium,130,53,74,1000,2500,90,45,90,8.82,2338,Hard,India,Haryana
Fenugreek Seed,Peaty,Winter,12,28,6.3,7.8,20,60,Medium,98,42,72,300,1000,60,30,30,0.82,624,Medium,Asia,Bangladesh
Pineapple,Sandy,Winter,19,31,4.5,6.7,88,156,Medium,181,60,80,200,800,120,60,120,29.69,3085,Medium,Asia,Vietnam
Castor,Silty,Spring,18,39,6.2,8.2,11,80,Low,179,30,64,200,800,80,40,40,1.37,572,Medium,Nepal,Gulmi
Cabbage,Laterite,Monsoon,13,24,6.0,6.8,48,120,High,75,64,81,200,800,140,70,110,22.85,2485,Medium,India,Andhra Pradesh
Chickpea,Peaty,Autumn,13,27,6.2,7.6,15,47,Low,95,38,64,300,1000,60,30,40,1.79,760,Medium,India,Punjab
Coconut,Peaty,Autumn,25,35,5.8,8.2,94,188,Medium,375,57,88,200,500,120,60,120,2.83,1456,Medium,Nepal,Kailali
Groundnut,Laterite,Autumn,20,35,5.8,7.5,55,73,Medium,115,42,68,200,800,60,30,60,1.52,767,Medium,Nepal,Dhankuta
Grapes,Loamy,Spring,14,37,6.2,7.5,42,106,Medium,153,49,78,300,1000,150,80,120,16.5,3810,Hard,India,Punjab
Sweet Potato,Red,Monsoon,18,30,5.7,6.8,51,89,Low,127,60,77,300,1500,80,40,80,12.13,1477,Easy,India,Tamil Nadu
Cauliflower,Silty,Summer,14,23,6.1,6.7,50,101,High,60,63,87,200,800,150,80,120,12.34,2391,Medium,Asia,Indonesia
Papaya,Alluvial,Autumn,23,35,6.2,7.8,76,133,Medium,280,61,88,200,800,150,80,150,35.65,3135,Easy,Asia,Indonesia
Sorghum (Jowar),Alluvial,Spring,24,39,5.8,8.2,45,75,Low,129,34,63,300,1000,80,40,40,2.16,476,Medium,Asia,Thailand
Carrot,Silty,Spring,12,26,5.8,7.2,55,81,Medium,86,64,82,200,1000,100,50,100,29.79,2138,Easy,Asia,Indonesia
Pigeon Pea,Sandy,Spring,19,33,6.0,7.5,44,80,Low,181,40,75,300,1000,60,30,40,1.27,555,Medium,India,Haryana
Cowpea,Loamy,Monsoon,24,35,6.2,7.5,37,68,Low,82,47,74,200,800,60,30,40,7.17,826,Easy,Asia,Bangladesh
Pumpkin,Alluvial,Monsoon,21,34,6.0,7.3,44,64,Medium,104,50,79,200,800,80,40,80,27.78,2363,Easy,India,Maharashtra
Green Gram,Red,Winter,25,36,6.1,7.2,13,80,Low,82,44,71,200,800,40,20,25,0.7,457,Easy,Asia,Thailand
Carrot,Silty,Monsoon,10,24,6.0,7.3,48,79,Medium,85,58,75,200,1000,100,50,100,27.21,2400,Easy,Nepal,Gulmi
Lentil (Musuro),Sandy,Summer,17,23,5.7,7.3,20,82,Low,111,55,70,0,2000,20,40,20,1.17,772,Easy,Nepal,Ilam
Sugarcane,Sandy,Winter,19,36,6.2,7.6,101,187,High,356,65,89,200,800,150,80,150,81.57,2072,Medium,Asia,Bangladesh
Carrot,Laterite,Autumn,8,27,6.3,7.6,27,96,Medium,91,58,75,200,1000,100,50,100,23.07,1880,Easy,Nepal,Kaski
Ginger,Silty,Winter,20,37,5.6,6.4,166,318,High,253,65,93,300,1500,80,50,50,19.32,2974,Medium,Nepal,Kaski
Chili,Red,Winter,22,36,6.2,7.6,41,130,Medium,100,64,88,200,1000,100,50,80,9.14,1774,Medium,Nepal,Ilam
Rice (Marshi),Clay,Summer,16,29,5.7,7.2,130,250,High,169,66,99,1500,2500,100,50,50,3.13,1148,Medium,Asia,Indonesia
Mango,Peaty,Monsoon,23,37,5.6,7.2,89,170,Low,125,45,73,200,800,100,50,100,8.89,2651,Medium,Nepal,Kailali
Rubber,Peaty,Winter,23,35,5.5,7.0,159,289,High,374,76,91,200,800,100,50,100,2.13,2222,Medium,Nepal,Dhankuta
Green Gram,Black,Spring,23,37,6.1,7.6,18,50,Low,78,49,65,200,800,40,20,25,0.75,441,Easy,India,Gujarat
Horse Gram,Laterite,Spring,19,35,5.5,7.6,25,79,Low,121,45,69,300,1000,40,20,25,0.69,380,Easy,India,Punjab
Linseed,Loamy,Winter,11,23,6.3,7.2,25,76,Low,113,44,70,300,1000,60,30,30,1.18,553,Medium,India,Himachal Pradesh
Red Kidney Bean,Red,Summer,14,25,5.9,6.9,69,106,Medium,128,55,86,500,1500,70,35,50,1.03,792,Hard,India,Tamil Nadu
Orange,Laterite,Spring,15,34,5.6,7.5,119,199,Medium,176,65,76,500,1500,120,60,100,11.72,3127,Medium,Nepal,Dhankuta
Horse Gram,Black,Spring,22,36,5.2,7.3,40,57,Low,127,35,70,300,1000,40,20,25,0.91,417,Easy,India,West Bengal
Quinoa,Black,Winter,16,31,5.8,7.9,46,113,Low,124,41,75,1000,3000,70,35,35,1.26,462,Hard,India,Punjab
Wheat (Winter),Red,Winter,3,21,6.0,7.4,35,85,Medium,126,44,71,300,800,110,55,55,2.99,739,Medium,Asia,Bangladesh
Sesame,Loamy,Spring,26,34,6.1,7.4,25,48,Low,84,39,68,200,800,60,30,30,0.77,443,Easy,Nepal,Bara
Bitter Gourd,Peaty,Summer,23,33,6.0,7.8,64,106,Medium,90,55,89,200,800,100,50,80,16.89,1586,Medium,Nepal,Morang
Castor,Silty,Winter,20,41,6.1,8.1,25,66,Low,186,37,58,200,800,80,40,40,1.51,620,Medium,Nepal,Ilam
Mustard,Peaty,Summer,9,27,6.3,7.8,22,101,Low,108,51,73,0,2000,60,40,40,1.14,733,Easy,India,Assam
Apple (Mustang),Silty,Autumn,4,27,5.5,7.3,65,125,Medium,186,58,76,2000,3500,50,30,70,13.45,2744,Hard,Nepal,Jhapa
Cashew,Silty,Monsoon,27,33,5.7,7.2,45,131,Low,232,55,83,200,800,80,40,60,1.36,2149,Medium,India,Gujarat
Jackfruit,Black,Autumn,26,35,5.4,7.7,95,195,Medium,189,60,80,200,800,100,50,100,22.29,2374,Easy,India,Punjab
Sugarcane,Loamy,Autumn,18,37,6.0,7.7,84,183,High,367,58,90,200,800,150,80,150,67.9,2071,Medium,India,Himachal Pradesh
Oats,Clay,Monsoon,8,27,6.1,6.9,56,132,Medium,102,56,80,500,1500,90,45,45,2.23,394,Medium,Nepal,Ilam
Rubber,Black,Monsoon,23,34,5.6,6.9,168,301,High,357,73,92,200,800,100,50,100,2.12,2432,Medium,India,Himachal Pradesh
Finger Millet,Silty,Monsoon,20,32,5.8,7.5,77,122,Low,106,46,77,500,2000,70,35,35,1.38,306,Medium,India,Gujarat
Okra,Alluvial,Winter,23,35,6.0,7.7,70,119,Medium,53,50,81,200,800,80,40,60,11.75,1532,Easy,India,Haryana
Barnyard Millet,Clay,Winter,18,33,5.6,7.6,67,111,Medium,89,55,74,300,1200,70,35,35,1.49,326,Easy,Asia,Indonesia
Rice (Jhum),Loamy,Summer,18,36,5.8,7.2,132,183,Medium,125,68,89,500,1500,80,40,40,2.14,610,Hard,Asia,Sri Lanka
Brinjal,Black,Spring,22,33,6.1,7.4,70,128,Medium,96,56,87,200,800,120,60,100,26.72,3261,Medium,Nepal,Sunsari
Millet (Pearl),Red,Spring,26,39,6.2,7.8,26,86,Low,73,34,61,200,800,60,30,30,1.4,283,Easy,India,Uttar Pradesh
Rice (Aus),Laterite,Monsoon,19,38,4.8,7.3,98,208,High,121,61,80,0,500,120,60,60,3.91,828,Easy,Asia,Sri Lanka
Barnyard Millet,Sandy,Winter,22,34,5.4,7.4,65,133,Medium,77,45,73,300,1200,70,35,35,1.49,319,Easy,Nepal,Morang
Chickpea,Black,Spring,13,25,6.1,7.4,47,50,Low,108,43,70,300,1000,60,30,40,1.34,765,Medium,Nepal,Jhapa
Ridge Gourd,Loamy,Monsoon,26,36,6.3,7.6,61,117,Medium,73,64,81,200,800,80,40,60,17.75,1899,Easy,Asia,Bangladesh
Cucumber,Sandy,Winter,18,36,6.1,7.4,68,135,High,55,64,86,200,800,80,40,60,28.65,2065,Easy,Nepal,Mustang
Banana,Sandy,Summer,22,35,5.3,6.8,86,218,High,332,63,81,200,800,200,100,300,35.55,3324,Medium,India,Assam
Rice (Boro),Red,Summer,17,32,5.1,7.8,31,95,High,153,45,78,0,500,130,65,65,3.81,1197,Medium,Nepal,Bara
Cotton,Black,Winter,22,35,6.3,7.9,60,60,Low,175,40,64,200,600,100,50,100,2.4,1122,Medium,Nepal,Sindhupalchok
Rubber,Silty,Summer,26,35,5.6,6.9,147,288,High,373,75,93,200,800,100,50,100,1.84,2026,Medium,Nepal,Sunsari
Cardamom,Sandy,Monsoon,16,28,4.7,6.4,170,305,High,369,73,91,800,2000,100,50,100,0.58,5205,Hard,Asia,Thailand
Lentil,Alluvial,Spring,14,26,6.1,7.6,41,45,Low,93,37,60,300,1000,50,25,30,1.21,554,Medium,Nepal,Ilam
Rice (Jhum),Loamy,Summer,18,35,5.5,7.3,101,195,Medium,128,66,82,500,1500,80,40,40,2.66,560,Hard,Asia,Vietnam
Potato,Loamy,Autumn,15,24,5.0,6.7,41,97,Medium,76,57,87,500,2000,150,80,120,17.99,2576,Medium,Nepal,Kaski
Peach,Silty,Monsoon,14,28,5.8,7.3,84,131,Medium,119,60,73,500,2000,100,50,100,12.2,2996,Hard,Nepal,Kailali
Bitter Gourd,Red,Winter,24,37,6.1,7.5,48,117,Medium,90,60,88,200,800,100,50,80,14.6,1560,Medium,India,Andhra Pradesh
Spinach,Laterite,Autumn,8,25,6.2,7.5,54,82,Medium,52,57,79,200,800,80,40,60,12.48,1560,Easy,India,Punjab
Cashew,Laterite,Winter,23,37,5.7,7.5,56,124,Low,242,60,78,200,800,80,40,60,1.21,1737,Medium,Nepal,Kaski
Black Gram,Laterite,Winter,26,37,6.1,7.5,42,64,Medium,92,50,70,200,800,50,25,30,1.1,461,Easy,Nepal,Sindhupalchok
Rice (Aus),Peaty,Monsoon,21,39,5.2,7.3,89,188,High,123,55,87,0,500,120,60,60,4.05,760,Easy,Nepal,Kaski
Rice (Basmati),Silty,Monsoon,18,41,6.2,7.2,73,158,Medium,125,60,82,300,800,100,50,50,2.93,1435,Medium,India,Uttar Pradesh
Sugarcane,Black,Summer,19,35,6.1,7.2,92,183,High,355,64,85,200,800,150,80,150,71.0,2181,Medium,Nepal,Kailali
Oats,Peaty,Winter,11,27,5.7,7.2,76,137,Medium,105,53,84,500,1500,90,45,45,2.4,448,Medium,Nepal,Kaski
Spinach,Laterite,Autumn,10,26,6.1,7.8,49,64,Medium,50,55,83,200,800,80,40,60,14.18,1670,Easy,Nepal,Mustang
Lentil,Black,Spring,14,24,6.1,7.3,30,75,Low,96,39,63,300,1000,50,25,30,1.36,622,Medium,India,Tamil Nadu
Green Gram,Loamy,Spring,24,37,6.2,7.7,12,48,Low,75,47,72,200,800,40,20,25,0.67,404,Easy,Nepal,Kailali
Okra,Black,Autumn,25,37,6.1,7.4,41,109,Medium,70,57,75,200,800,80,40,60,11.2,1630,Easy,Asia,Thailand
Rice (Aman),Red,Summer,18,39,5.2,7.4,156,307,High,131,66,87,0,500,110,55,55,3.7,815,Easy,Nepal,Sunsari
Buckwheat (Phapar),Red,Summer,9,26,4.8,7.0,59,90,Low,60,46,72,2000,4000,20,20,20,1.2,488,Easy,Nepal,Mustang
Pear,Clay,Spring,12,23,5.8,7.2,95,158,Medium,130,50,72,1000,2500,100,50,100,10.33,2354,Hard,India,Punjab
Coffee (Arabica),Sandy,Autumn,14,23,6.0,6.6,144,260,Medium,291,73,86,800,1600,60,40,80,1.32,2059,Hard,Nepal,Gulmi
Okra,Silty,Summer,25,33,5.9,7.3,50,84,Medium,53,54,76,200,800,80,40,60,12.85,1415,Easy,Asia,Indonesia
Cashew,Red,Autumn,24,36,5.4,7.6,58,108,Low,248,54,77,200,800,80,40,60,1.76,2244,Medium,India,Uttar Pradesh
Ridge Gourd,Black,Summer,24,36,5.9,7.6,30,113,Medium,80,57,85,200,800,80,40,60,19.26,1572,Easy,Nepal,Dhankuta
Okra,Black,Spring,25,36,5.9,7.5,64,107,Medium,67,51,80,200,800,80,40,60,12.32,1795,Easy,Nepal,Chitwan
Drumstick,Red,Summer,25,38,6.2,7.3,59,116,Low,199,52,77,200,800,80,40,60,48.77,3459,Easy,India,Uttar Pradesh
Pumpkin,Clay,Monsoon,22,34,6.2,7.6,57,75,Medium,91,49,76,200,800,80,40,80,27.93,2164,Easy,Nepal,Gulmi
Kodo Millet,Black,Winter,20,37,5.8,7.4,32,106,Low,84,43,72,400,1500,60,30,30,1.25,273,Medium,India,Haryana
Brinjal,Loamy,Spring,18,36,6.0,7.4,61,130,Medium,109,55,80,200,800,120,60,100,26.07,2861,Medium,India,West Bengal
Brinjal,Alluvial,Summer,19,37,6.3,7.8,56,133,Medium,109,55,90,200,800,120,60,100,26.03,3254,Medium,Nepal,Mustang
Wheat (Winter),Sandy,Winter,7,22,6.1,7.2,44,71,Medium,129,45,74,300,800,110,55,55,3.19,738,Medium,Asia,Thailand
Cumin,Black,Summer,17,30,5.9,8.0,16,26,Low,113,36,52,300,1000,60,30,30,0.6,973,Hard,India,Tamil Nadu
Walnut,Loamy,Summer,5,24,6.0,7.4,98,138,Medium,176,51,74,1500,3000,100,50,100,4.94,3235,Hard,India,Himachal Pradesh
Coffee (Arabica),Silty,Summer,13,26,6.1,6.8,167,234,Medium,253,69,83,800,1600,60,40,80,1.79,1738,Hard,Nepal,Jhapa
Tea,Red,Spring,11,32,4.8,5.7,210,407,High,365,79,98,500,2000,120,60,60,2.45,3521,Medium,India,Punjab
Drumstick,Laterite,Monsoon,23,39,6.0,7.7,32,88,Low,193,47,82,200,800,80,40,60,52.73,3146,Easy,India,Maharashtra
Green Gram,Sandy,Spring,23,34,6.1,7.8,45,71,Low,72,46,69,200,800,40,20,25,0.89,416,Easy,Nepal,Kaski
Cowpea,Sandy,Summer,24,34,6.1,7.6,53,95,Low,87,52,73,200,800,60,30,40,5.86,829,Easy,Nepal,Mustang
Rubber,Red,Winter,24,36,5.7,7.2,150,313,High,364,74,97,200,800,100,50,100,1.74,1790,Medium,Nepal,Sindhupalchok
Oats,Alluvial,Monsoon,9,27,6.1,6.7,49,123,Medium,110,54,80,500,1500,90,45,45,2.07,437,Medium,Asia,Thailand
Maize (Rainfed),Loamy,Autumn,18,37,5.3,7.3,73,150,Medium,91,58,85,200,1000,100,50,50,2.19,595,Medium,Nepal,Chitwan
Horse Gram,Loamy,Summer,21,37,5.4,7.6,10,72,Low,113,39,66,300,1000,40,20,25,0.71,343,Easy,Nepal,Gulmi
Mustard,Loamy,Spring,9,24,5.9,7.4,21,103,Low,103,53,70,0,2000,60,40,40,1.43,702,Easy,Nepal,Dhankuta
Wheat (Spring),Laterite,Winter,12,23,5.7,7.5,31,103,Medium,104,50,73,200,600,120,60,60,2.98,734,Medium,Nepal,Kailali
Peas,Sandy,Summer,11,24,6.2,7.3,23,81,Medium,77,63,77,300,1200,60,30,40,8.75,1296,Medium,India,Haryana
Linseed,Red,Winter,12,23,5.8,7.2,33,57,Low,130,38,60,300,1000,60,30,30,1.19,512,Medium,India,Andhra Pradesh
Oats,Peaty,Spring,8,27,5.8,6.9,41,129,Medium,108,53,78,500,1500,90,45,45,1.93,556,Medium,Nepal,Jhapa
Tobacco,Laterite,Winter,15,31,5.7,7.4,36,85,Medium,116,51,75,300,1000,120,60,120,2.0,2201,Hard,Nepal,Chitwan
Coffee,Laterite,Autumn,14,23,5.7,6.6,112,200,Medium,361,63,85,800,2000,120,60,100,1.28,3562,Hard,Asia,Vietnam
Drumstick,Red,Monsoon,23,39,5.8,7.6,35,112,Low,202,55,84,200,800,80,40,60,51.21,2439,Easy,India,Uttar Pradesh
Groundnut,Loamy,Monsoon,22,36,6.2,7.8,20,63,Medium,118,44,67,200,800,60,30,60,1.74,721,Medium,Nepal,Ilam
Coconut,Alluvial,Winter,27,33,5.3,7.9,84,186,Medium,375,62,88,200,500,120,60,120,2.03,1788,Medium,Asia,Sri Lanka
Black Pepper,Alluvial,Summer,27,37,5.7,7.1,156,253,High,358,73,90,200,800,120,60,120,0.95,3034,Hard,India,Haryana
Little Millet,Peaty,Summer,21,33,5.5,7.7,62,104,Low,78,41,66,400,1500,60,30,30,1.37,262,Medium,India,Maharashtra
Lentil (Musuro),Clay,Autumn,13,24,5.9,7.3,50,99,Low,114,48,67,0,2000,20,40,20,1.43,885,Easy,India,Maharashtra
Cauliflower,Peaty,Monsoon,14,23,6.3,6.7,64,102,High,80,61,87,200,800,150,80,120,12.73,1851,Medium,India,Himachal Pradesh
Quinoa,Black,Monsoon,16,32,6.0,8.1,43,106,Low,110,47,65,1000,3000,70,35,35,1.34,475,Hard,India,Punjab
Pumpkin,Black,Winter,21,35,5.9,7.7,32,67,Medium,94,51,73,200,800,80,40,80,29.05,2129,Easy,India,Maharashtra
Red Chili,Peaty,Autumn,21,33,5.9,7.6,45,109,Medium,120,54,84,300,1000,100,50,80,1.57,1579,Medium,Nepal,Bara
Strawberry,Black,Monsoon,13,23,5.3,7.3,70,123,Medium,86,65,81,500,1500,100,50,100,17.28,4105,Hard,India,Maharashtra
Almond,Sandy,Summer,5,28,5.9,7.9,41,87,Low,181,45,65,500,2000,80,40,80,2.75,3855,Hard,India,Tamil Nadu
Millet (Pearl),Silty,Monsoon,23,41,5.9,8.3,21,86,Low,75,27,65,200,800,60,30,30,1.5,420,Easy,India,Assam
Grapes,Peaty,Winter,16,35,6.1,7.6,47,94,Medium,160,50,76,300,1000,150,80,120,18.92,3237,Hard,Nepal,Gulmi
Rice (Aman),Clay,Summer,21,40,4.7,7.6,166,290,High,147,66,91,0,500,110,55,55,4.13,915,Easy,India,West Bengal
Cotton,Loamy,Spring,21,37,6.4,8.1,49,65,Low,189,45,68,200,600,100,50,100,2.81,1389,Medium,Asia,Bangladesh
Guava,Red,Spring,21,34,5.4,7.5,69,142,Medium,180,55,81,200,1000,100,50,100,22.49,2112,Easy,Nepal,Sindhupalchok
Rice (Jhum),Silty,Summer,18,37,5.4,6.8,128,210,Medium,113,60,80,500,1500,80,40,40,2.24,639,Hard,India,Assam
Apricot,Alluvial,Summer,11,28,6.2,7.3,46,109,Medium,120,55,72,1000,2500,90,45,90,7.92,2356,Hard,Nepal,Kailali
Plum,Loamy,Summer,9,25,5.7,7.2,85,143,Medium,128,53,75,1000,2500,90,45,90,9.79,2785,Hard,Nepal,Sunsari
Walnut,Silty,Monsoon,5,26,5.7,7.4,63,151,Medium,187,48,73,1500,3000,100,50,100,4.37,3878,Hard,Nepal,Gulmi
Tea,Sandy,Monsoon,12,32,4.6,5.4,201,415,High,365,80,96,500,2000,120,60,60,2.38,1548,Medium,Nepal,Kailali
Pomegranate,Silty,Monsoon,16,34,5.3,7.6,56,112,Low,180,43,67,500,1500,120,60,100,10.7,2864,Medium,India,Haryana
Watermelon,Black,Spring,26,36,5.9,7.8,43,68,Medium,88,45,70,200,800,100,50,100,27.55,2284,Easy,India,Haryana
Maize (Rainfed),Clay,Monsoon,19,36,5.7,6.8,92,133,Medium,93,57,80,200,1000,100,50,50,2.99,460,Medium,Nepal,Kaski
Green Beans,Red,Autumn,18,31,6.0,7.6,48,91,Medium,86,61,89,200,1000,70,35,50,8.46,1450,Medium,Nepal,Gulmi
Rice (Marshi),Clay,Summer,17,32,5.7,7.2,118,240,High,150,68,90,1500,2500,100,50,50,2.78,932,Medium,India,Andhra Pradesh
Pigeon Pea,Sandy,Autumn,20,37,6.1,7.2,54,74,Low,185,46,70,300,1000,60,30,40,1.04,536,Medium,Nepal,Jhapa
Little Millet,Clay,Monsoon,19,34,5.4,7.5,58,81,Low,75,35,71,400,1500,60,30,30,1.16,327,Medium,Asia,Sri Lanka
Cumin,Peaty,Spring,15,28,5.8,8.3,0,33,Low,110,37,50,300,1000,60,30,30,0.53,1233,Hard,Asia,Vietnam
Grapes,Laterite,Winter,17,35,5.7,7.8,65,88,Medium,144,46,73,300,1000,150,80,120,16.57,3835,Hard,Asia,Vietnam
Fennel,Clay,Monsoon,8,29,5.9,7.6,26,49,Medium,158,46,70,300,1000,80,40,60,1.19,1039,Medium,India,Uttar Pradesh
Rice (Aman),Alluvial,Monsoon,21,40,5.3,7.3,132,306,High,139,69,92,0,500,110,55,55,4.42,952,Easy,India,Assam
Buckwheat (Phapar),Loamy,Autumn,10,24,4.9,7.1,68,113,Low,73,50,74,2000,4000,20,20,20,1.1,463,Easy,Nepal,Kailali
Cowpea,Sandy,Spring,24,37,5.8,7.7,53,65,Low,94,55,79,200,800,60,30,40,5.16,658,Easy,Asia,Thailand
Coriander,Clay,Monsoon,16,23,6.2,7.6,38,72,Medium,59,54,71,200,800,60,30,40,6.54,754,Easy,Asia,Bangladesh
Coriander,Alluvial,Autumn,17,27,6.1,7.8,41,69,Medium,55,59,78,200,800,60,30,40,6.68,688,Easy,Nepal,Morang
Castor,Alluvial,Monsoon,21,42,6.2,8.0,36,69,Low,189,35,63,200,800,80,40,40,1.43,554,Medium,Asia,Indonesia
Tomato,Alluvial,Spring,18,29,6.1,7.0,50,101,Medium,61,69,80,200,1000,120,60,100,26.7,4165,Medium,Nepal,Jhapa
Cashew,Laterite,Winter,26,37,5.5,7.5,58,121,Low,242,50,79,200,800,80,40,60,1.56,1740,Medium,India,Andhra Pradesh
Muskmelon,Red,Winter,24,37,6.3,7.4,22,85,Medium,82,55,72,200,800,90,45,90,29.62,1940,Easy,Nepal,Dhankuta
Rice (Marshi),Laterite,Monsoon,17,32,5.3,6.9,119,247,High,165,69,100,1500,2500,100,50,50,3.89,1064,Medium,Nepal,Sunsari
Apple,Loamy,Autumn,17,24,5.8,6.9,66,139,Medium,155,57,77,1500,3000,120,60,120,14.25,2898,Hard,Asia,Indonesia
Cotton,Peaty,Spring,19,35,6.5,8.0,20,63,Low,174,43,67,200,600,100,50,100,2.48,1164,Medium,India,Tamil Nadu
Tea,Alluvial,Spring,9,28,4.4,5.7,199,402,High,365,85,100,500,2000,120,60,60,1.59,1076,Medium,Nepal,Kailali
Sweet Potato,Peaty,Summer,18,30,5.7,7.0,54,61,Low,127,56,77,300,1500,80,40,80,16.47,1872,Easy,Nepal,Morang
